Adjusted Family Cash Income Decile,Number of Families,Number of Individuals,Family Cash Income,Total Federal Taxes,Individual Income Taxes,Corporate Income Taxes,Payroll Taxes,Excises and Customs Duties,Estate and Gift Taxes
0 to 10,17.3,21.8,89.5,0.9,-7.7,0.4,6.1,2.2,0
10 to 20,17.8,32.1,297,-14.1,-39.3,1,21.3,3,0
20 to 30,17.8,34.4,446.2,-2.6,-43.2,1.5,35.4,3.7,0
30 to 40,17.8,33.6,595.1,27,-29.3,2.5,49.1,4.7,0
40 to 50,17.8,33.8,798.7,68.5,-9,4.1,67,6.4,0
50 to 60,17.8,34.2,1066.9,121,17.6,6.8,88.1,8.4,0
60 to 70,17.8,35.3,1403.5,187.9,50,10.5,116.3,11.1,0
70 to 80,17.8,36.8,1860.8,295.6,104.6,15.5,160.3,15.2,0
80 to 90,17.8,37.8,2568.7,484.1,210.6,25.1,226.9,21.5,0
90 to 100,17.8,38.8,7337.3,1848.8,1211.4,175,383,61.1,18.3
